time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/value_loss
247,196608,96,23.21,0.96,792,0.0001,0.00830078125,0.48692143,950,-0.46973506510257723,-0.0005410506630141754,0.0048783477,0.2,0.016829289495944977,0.04160250280983746
249,198656,97,23.09,0.92,797,0.0001,0.06689453125,0.58562255,960,-0.4905872859992087,-0.004727177931636106,0.004056937,0.2,-0.012541336938738823,0.03168852457602043
250,200704,98,21.6,0.9,801,0.0001,0.03134765625,0.5208127,970,-0.5056473678909242,-0.0013354182985494845,0.005306172,0.2,0.014423116110265255,0.04178922626306303
251,202752,99,22.65,0.96,806,0.0001,0.049951171875,0.42886502,980,-0.48010370675474406,-0.003744196527986787,0.0067696087,0.2,0.015232613310217857,0.05120822818134911
252,204800,100,22.58,0.86,810,0.0001,0.049755859375,0.54148996,990,-0.505043401196599,-0.004964874234428862,0.005690204,0.2,0.04159003123641014,0.03387631132209208
253,206848,101,21.7,0.94,814,0.0001,0.04560546875,0.31992698,1000,-0.5042058003135026,-0.0028709110512863843,0.005246206,0.2,0.047295235097408295,0.06233599632978439
255,208896,102,22.32,0.92,819,0.0001,0.0890625,0.5629063,1010,-0.45394327947869895,-0.00738822526182048,0.008892795,0.2,-0.012548799626529217,0.033903888586792164
256,210944,103,21.99,0.88,823,0.0001,0.016845703125,0.39065272,1020,-0.46051549362018707,-0.0013214362217695453,0.0017663408,0.2,0.018646657466888428,0.05077092453720979
257,212992,104,22.9,0.76,827,0.0001,0.015234375,0.41550368,1030,-0.4305198757909238,-0.0014970658517995616,0.0063005225,0.2,-0.008197028189897537,0.053056533297058193
258,215040,105,23.02,0.88,831,0.0001,0.04619140625,0.2809341,1040,-0.44194161277264354,-0.0024662889511091633,0.0038858028,0.2,0.011106390506029129,0.07760617587482557
259,217088,106,21.2,0.86,835,0.0001,0.0283203125,0.41497523,1050,-0.4802103486843407,-0.0025693146264529785,0.0041347807,0.2,0.02684708498418331,0.05243084896355867
261,219136,107,22.27,0.92,839,0.0001,0.00869140625,0.39003217,1060,-0.49504010649397967,-0.0012033172286464832,0.005469361,0.2,0.00629340298473835,0.059507027978543195
262,221184,108,21.47,0.84,843,0.0001,0.049560546875,0.4788754,1070,-0.46280809920281174,-0.003813926805014489,0.008356627,0.2,0.016956133767962456,0.04212827254668809
263,223232,109,20.18,0.9,847,0.0001,0.01220703125,0.36944944,1080,-0.48606610810384154,-0.000898285621588002,0.0052499096,0.2,0.023496855050325394,0.060494356864364815
264,225280,110,21.78,0.9,851,0.0001,0.04443359375,0.44038165,1090,-0.45348379351198675,-0.0032715599983930586,0.007805771,0.2,-0.010015512816607952,0.05070385811850429
265,227328,111,23.71,0.9,855,0.0001,0.00283203125,0.4372717,1100,-0.4384406952187419,-0.0008245045639341698,0.005409886,0.2,0.01145118661224842,0.04955304880277254
266,229376,112,21.48,0.86,859,0.0001,0.019970703125,0.37305093,1110,-0.45010963790118697,-0.0010091451738844625,0.003571719,0.2,0.04545164853334427,0.05026791440322995
268,231424,113,21.96,0.96,863,0.0001,0.0904296875,0.40323073,1120,-0.48706480506807565,-0.007077731797471643,0.005906188,0.2,0.007457038387656212,0.05662513198913075
269,233472,114,23.49,0.98,867,0.0001,0.01611328125,0.53860813,1130,-0.46317140851169825,-0.0010751133086159825,0.0066414014,0.2,-0.011321937665343285,0.036028947861632334
270,235520,115,23.4,1.0,871,0.0001,0.066162109375,0.6085066,1140,-0.49043084839358925,-0.004905866854824126,0.004910019,0.2,-0.002880261279642582,0.027885716475429943
271,237568,116,20.94,0.82,874,0.0001,0.018701171875,0.6028261,1150,-0.5048580804839731,-0.0022819554040324876,0.0057637794,0.2,0.04358908161520958,0.027715991472359747
272,239616,117,22.86,0.88,878,0.0001,0.010693359375,0.33033413,1160,-0.4920028938911855,-0.001819855935173109,0.004782479,0.2,0.018530717119574547,0.06781864262302406
273,241664,118,22.13,0.98,882,0.0001,0.005615234375,0.44414818,1170,-0.48107850505039096,-0.0003582260076655075,0.00051517796,0.2,0.020143719390034676,0.04608470145612955
275,243712,119,21.78,0.92,885,0.0001,0.0365234375,0.52393097,1180,-0.4516146286390722,-0.002144957876589615,0.0068765287,0.2,0.019042551517486572,0.034865331480978055
276,245760,120,22.68,0.92,889,0.0001,0.0,0.3793009,1190,-0.4464395920746028,-0.0002932068528025411,0.00037006693,0.2,0.009168172255158424,0.052383407496381554
277,247808,121,19.7,0.82,893,0.0001,0.04833984375,0.38666213,1200,-0.47917480589821937,-0.0021348896465497092,0.004593349,0.2,0.019785825163125992,0.051524775347206744
